"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","32.05","31.86","32.32","31.77","11.06M","0.06%"
"2019년 12월 30일","32.03","32.49","32.50","31.82","9.40M","-1.60%"
"2019년 12월 27일","32.55","32.75","32.84","32.22","10.41M","-0.25%"
"2019년 12월 26일","32.63","32.59","32.89","32.42","9.81M","0.40%"
"2019년 12월 24일","32.50","32.44","32.71","32.42","4.29M","0.22%"
"2019년 12월 23일","32.43","32.13","32.80","31.99","13.99M","0.93%"
"2019년 12월 20일","32.13","32.12","32.25","31.54","21.86M","0.31%"
"2019년 12월 19일","32.03","31.75","32.42","31.61","19.91M","1.10%"
"2019년 12월 18일","31.68","30.69","31.91","30.63","19.05M","3.19%"
"2019년 12월 17일","30.70","31.07","31.21","30.63","11.91M","-0.87%"
"2019년 12월 16일","30.97","30.52","31.28","30.41","15.86M","1.91%"
"2019년 12월 13일","30.39","30.24","30.61","30.24","12.84M","0.30%"
"2019년 12월 12일","30.30","30.47","30.59","29.93","18.92M","-0.82%"
"2019년 12월 11일","30.55","29.95","30.60","29.86","11.01M","2.38%"
"2019년 12월 10일","29.84","30.23","30.26","29.77","12.38M","-1.22%"
"2019년 12월 09일","30.21","30.12","30.75","30.12","10.06M","0.07%"
"2019년 12월 06일","30.19","30.35","30.47","29.98","10.88M","0.50%"
"2019년 12월 05일","30.04","30.08","30.36","29.92","11.07M","0.13%"
"2019년 12월 04일","30.00","30.18","30.33","29.91","9.78M","0.10%"
"2019년 12월 03일","29.97","29.94","30.01","29.48","16.56M","-1.48%"
"2019년 12월 02일","30.42","30.91","30.95","29.97","14.55M","-1.59%"
"2019년 11월 29일","30.91","31.11","31.14","30.78","7.81M","-0.83%"
"2019년 11월 27일","31.17","31.00","31.36","30.93","14.19M","0.68%"
"2019년 11월 26일","30.96","30.57","30.99","30.40","16.36M","1.38%"
"2019년 11월 25일","30.54","30.13","30.57","30.05","14.05M","1.70%"
"2019년 11월 22일","30.03","29.87","30.17","29.57","14.19M","0.81%"
"2019년 11월 21일","29.79","29.20","30.49","29.15","24.30M","2.13%"
"2019년 11월 20일","29.17","29.30","29.48","28.88","14.29M","-0.92%"
"2019년 11월 19일","29.44","29.62","29.67","29.18","9.96M","-0.17%"
"2019년 11월 18일","29.49","29.24","29.73","29.01","14.54M","0.82%"
"2019년 11월 15일","29.25","29.05","29.43","28.91","12.17M","1.25%"
"2019년 11월 14일","28.89","29.16","29.37","28.73","13.71M","-0.65%"
"2019년 11월 13일","29.08","29.04","29.30","28.93","9.32M","0.10%"
"2019년 11월 12일","29.05","29.36","29.50","28.93","15.14M","-0.99%"
"2019년 11월 11일","29.34","29.13","29.35","28.92","9.69M","0.45%"
"2019년 11월 08일","29.21","29.16","29.43","29.05","10.62M","0.55%"
"2019년 11월 07일","29.05","29.00","29.59","28.63","22.74M","-1.66%"
"2019년 11월 06일","29.54","29.85","29.90","29.40","15.31M","-0.91%"
"2019년 11월 05일","29.81","30.19","30.36","29.71","16.65M","-0.80%"
"2019년 11월 04일","30.05","29.77","30.15","29.61","20.34M","1.45%"
"2019년 11월 01일","29.62","29.96","30.26","29.41","22.72M","-1.17%"
"2019년 10월 31일","29.97","29.47","29.98","28.84","36.87M","0.37%"
"2019년 10월 30일","29.86","30.15","30.17","29.72","25.52M","0.03%"
"2019년 10월 29일","29.85","30.00","30.36","29.82","20.67M","-0.70%"
"2019년 10월 28일","30.06","30.50","30.66","29.75","29.89M","-0.79%"
"2019년 10월 25일","30.30","30.87","31.04","29.92","43.84M","-1.46%"
"2019년 10월 24일","30.75","31.86","32.39","30.51","106.27M","-20.81%"
"2019년 10월 23일","38.83","38.99","39.45","37.76","20.53M","0.05%"
"2019년 10월 22일","38.81","40.48","40.48","38.78","13.08M","-3.19%"
"2019년 10월 21일","40.09","39.35","40.29","39.31","9.57M","2.82%"
"2019년 10월 18일","38.99","39.69","39.91","38.27","12.59M","-1.57%"
"2019년 10월 17일","39.61","40.12","40.15","39.41","7.19M","-0.75%"
"2019년 10월 16일","39.91","40.01","40.46","39.59","8.41M","-0.92%"
"2019년 10월 15일","40.28","39.56","40.40","39.35","7.75M","1.26%"
"2019년 10월 14일","39.78","40.32","40.47","39.47","6.46M","-1.44%"
"2019년 10월 11일","40.36","39.89","40.70","39.80","9.28M","2.07%"
"2019년 10월 10일","39.54","39.34","39.89","39.26","6.83M","0.10%"
"2019년 10월 09일","39.50","39.99","40.10","39.22","8.08M","-0.50%"
"2019년 10월 08일","39.70","40.41","40.48","39.67","8.00M","-2.70%"
"2019년 10월 07일","40.80","40.24","40.87","40.06","6.61M","1.09%"
"2019년 10월 04일","40.36","40.36","40.59","39.83","6.32M","0.90%"
"2019년 10월 03일","40.00","39.59","40.16","38.61","13.66M","0.76%"
"2019년 10월 02일","39.70","40.12","40.12","39.25","10.18M","-1.37%"
"2019년 10월 01일","40.25","41.32","41.57","40.03","9.47M","-2.31%"
"2019년 09월 30일","41.20","41.46","41.48","40.81","8.12M","-0.36%"
"2019년 09월 27일","41.35","42.50","42.67","40.61","11.94M","-2.57%"
"2019년 09월 26일","42.44","42.38","42.49","41.72","6.00M","-0.14%"
"2019년 09월 25일","42.50","41.51","42.78","41.18","9.83M","2.61%"
"2019년 09월 24일","41.42","43.71","43.75","41.06","16.37M","-4.52%"
"2019년 09월 23일","43.38","43.29","44.09","42.85","10.02M","0.35%"
"2019년 09월 20일","43.23","43.16","43.84","42.94","19.43M","0.70%"
"2019년 09월 19일","42.93","43.19","43.58","42.68","7.42M","-0.72%"
"2019년 09월 18일","43.24","43.21","43.41","42.39","7.87M","0.00%"
"2019년 09월 17일","43.24","42.90","43.59","42.88","8.70M","1.12%"
"2019년 09월 16일","42.76","42.40","43.07","42.19","6.19M","0.30%"
"2019년 09월 13일","42.63","43.15","43.20","42.33","8.06M","-1.32%"
"2019년 09월 12일","43.20","43.76","44.11","43.11","8.25M","-0.12%"
"2019년 09월 11일","43.25","43.55","43.78","43.05","7.86M","0.00%"
"2019년 09월 10일","43.25","43.90","43.95","42.51","14.04M","-2.28%"
"2019년 09월 09일","44.26","45.60","45.85","43.84","14.55M","-2.55%"
"2019년 09월 06일","45.42","45.22","45.68","44.56","13.11M","0.26%"
"2019년 09월 05일","45.30","43.78","45.33","43.62","19.36M","4.47%"
"2019년 09월 04일","43.36","42.49","43.40","42.11","11.59M","3.34%"
"2019년 09월 03일","41.96","42.38","43.77","41.64","16.18M","-1.62%"
"2019년 08월 30일","42.65","42.70","42.70","41.90","8.87M","0.38%"
"2019년 08월 29일","42.49","42.25","42.65","41.82","10.61M","1.94%"
"2019년 08월 28일","41.68","41.75","42.20","41.30","10.43M","-1.09%"
"2019년 08월 27일","42.14","42.01","42.69","41.53","16.10M","1.69%"
"2019년 08월 26일","41.44","41.40","41.48","41.00","6.40M","1.07%"
"2019년 08월 23일","41.00","41.82","42.69","40.81","14.07M","-2.80%"
"2019년 08월 22일","42.18","42.85","43.08","41.59","8.28M","-1.45%"
"2019년 08월 21일","42.80","42.83","43.28","42.36","12.03M","1.21%"
